"","0","1","2","3","4","5"
"TRAV13-1_TRAJ52",0,0,0,0,1,0
"TRAV13-1_TRAJ53",0,0,0,0,1,0
"TRAV13-1_TRAJ7",0,0,0,0,1,2
"TRAV13-1_TRAJ8",0,0,0,0,4,0
"TRAV13-1_TRAJ9",0,0,1,0,1,0
"TRAV13-2_TRAJ11",0,1,0,0,0,0
"TRAV13-2_TRAJ12",0,0,1,0,0,0
"TRAV13-2_TRAJ15",0,11,1,0,0,0
"TRAV13-2_TRAJ16",0,9,0,1,2,0
"TRAV13-2_TRAJ17",0,5,0,0,0,0
"TRAV13-2_TRAJ20",0,1,0,0,2,0
"TRAV13-2_TRAJ21",0,1,0,1,0,0
"TRAV13-2_TRAJ22",0,0,1,0,0,0
"TRAV13-2_TRAJ23",0,0,0,1,1,0
"TRAV13-2_TRAJ24",2,0,0,0,0,0
"TRAV13-2_TRAJ26",0,3,0,0,0,0
"TRAV13-2_TRAJ27",1,0,0,0,0,0
"TRAV13-2_TRAJ3",0,1,0,0,0,0
"TRAV13-2_TRAJ31",0,0,0,0,1,0
"TRAV13-2_TRAJ34",0,3,0,0,0,0
"TRAV13-2_TRAJ35",0,0,0,0,1,0
"TRAV13-2_TRAJ37",0,0,0,0,1,0
"TRAV13-2_TRAJ38",0,0,1,0,1,0
"TRAV13-2_TRAJ39",0,8,0,0,0,0
"TRAV13-2_TRAJ4",0,0,0,0,2,0
"TRAV13-2_TRAJ40",0,0,0,1,0,0
"TRAV13-2_TRAJ43",0,5,0,0,0,0
"TRAV13-2_TRAJ45",0,2,0,0,0,0
"TRAV13-2_TRAJ47",0,1,0,0,0,0
"TRAV13-2_TRAJ48",0,0,0,0,1,0
"TRAV13-2_TRAJ49",0,2,0,0,0,0
"TRAV13-2_TRAJ5",1,1,0,0,0,0
"TRAV13-2_TRAJ52",0,1,0,0,1,1
"TRAV13-2_TRAJ53",1,0,0,0,0,0
"TRAV13-2_TRAJ57",0,0,0,0,1,0
"TRAV13-2_TRAJ6",0,7,0,0,0,0
"TRAV13-2_TRAJ8",0,0,0,0,0,4
"TRAV14DV4_TRAJ11",0,2,1,0,1,0
"TRAV14DV4_TRAJ12",0,0,0,0,1,1
"TRAV14DV4_TRAJ13",0,3,1,0,0,1
"TRAV14DV4_TRAJ15",1,0,0,1,1,14
"TRAV14DV4_TRAJ17",0,0,1,0,0,0
"TRAV14DV4_TRAJ18",0,0,0,0,1,0
"TRAV14DV4_TRAJ20",0,4,0,0,0,0
"TRAV14DV4_TRAJ21",1,4,5,32,2,0
"TRAV14DV4_TRAJ23",0,0,1,0,1,0
"TRAV14DV4_TRAJ26",0,1,0,0,1,0
"TRAV14DV4_TRAJ28",1,1,0,2,5,4
"TRAV14DV4_TRAJ29",0,1,0,0,0,0
"TRAV14DV4_TRAJ30",4,6,2,132,7,10
"TRAV14DV4_TRAJ32",0,1,1,4,0,0
"TRAV14DV4_TRAJ33",0,1,0,0,1,0
"TRAV14DV4_TRAJ34",1,0,0,3,2,2
"TRAV14DV4_TRAJ35",1,0,0,0,0,0
"TRAV14DV4_TRAJ36",0,0,0,0,1,0
"TRAV14DV4_TRAJ37",0,9,0,0,0,0
"TRAV14DV4_TRAJ39",0,2,0,0,0,0
"TRAV14DV4_TRAJ4",1,1,2,0,1,0
"TRAV14DV4_TRAJ42",2,3,0,6,0,3
"TRAV14DV4_TRAJ43",0,0,0,0,6,8
"TRAV14DV4_TRAJ44",0,1,0,0,0,0
"TRAV14DV4_TRAJ45",0,0,0,0,1,1
"TRAV14DV4_TRAJ47",0,0,0,0,1,0
"TRAV14DV4_TRAJ48",1,1,0,1,1,0
"TRAV14DV4_TRAJ49",1,1,0,1,1,1
"TRAV14DV4_TRAJ5",0,0,0,0,0,8
"TRAV14DV4_TRAJ50",0,1,0,0,1,0
"TRAV14DV4_TRAJ52",1,16,0,0,1,2
"TRAV14DV4_TRAJ53",0,0,0,0,1,0
"TRAV14DV4_TRAJ54",1,0,0,0,1,0
"TRAV14DV4_TRAJ56",0,0,0,0,1,0
"TRAV14DV4_TRAJ57",0,0,0,0,2,0
"TRAV14DV4_TRAJ8",0,0,0,0,2,0
"TRAV14DV4_TRAJ9",0,1,0,0,1,0
"TRAV16_TRAJ10",6,0,0,0,0,0
"TRAV16_TRAJ12",1,1,0,0,0,0
"TRAV16_TRAJ20",0,1,0,0,0,0
"TRAV16_TRAJ21",2,0,0,0,0,0
"TRAV16_TRAJ23",0,0,0,0,6,0
"TRAV16_TRAJ28",1,1,0,0,0,0
"TRAV16_TRAJ37",2,0,0,0,0,0
"TRAV16_TRAJ42",3,2,2,0,1,5
"TRAV16_TRAJ50",1,0,0,0,0,0
"TRAV16_TRAJ52",0,1,0,0,0,0
"TRAV16_TRAJ56",1,4,1,0,2,7
"TRAV16_TRAJ57",0,1,0,0,0,0
"TRAV16_TRAJ6",1,0,0,0,0,1
"TRAV17_TRAJ10",0,0,0,7,0,0
"TRAV17_TRAJ11",0,0,0,0,4,0
"TRAV17_TRAJ12",0,1,0,1,0,0
"TRAV17_TRAJ15",0,2,0,0,1,0
"TRAV17_TRAJ16",0,0,1,0,1,0
"TRAV17_TRAJ17",1,0,0,1,2,26
"TRAV17_TRAJ18",1,0,0,0,0,0
"TRAV17_TRAJ20",0,3,2,5,1,3
"TRAV17_TRAJ26",0,0,0,5,1,0
"TRAV17_TRAJ28",0,2,0,0,2,0
"TRAV17_TRAJ29",0,0,0,0,1,0
"TRAV17_TRAJ3",0,1,0,0,0,0
"TRAV17_TRAJ31",0,0,0,0,0,1
"TRAV17_TRAJ32",0,4,0,0,0,0
"TRAV17_TRAJ34",0,0,0,0,0,1
"TRAV17_TRAJ38",0,0,0,0,1,0
"TRAV17_TRAJ39",0,1,0,0,0,1
"TRAV17_TRAJ4",1,0,0,0,0,0
"TRAV17_TRAJ41",1,0,0,0,0,0
"TRAV17_TRAJ42",0,1,0,1,0,0
"TRAV17_TRAJ45",0,0,0,0,1,0
"TRAV17_TRAJ47",0,0,0,0,2,0
"TRAV17_TRAJ48",1,0,0,0,0,0
"TRAV17_TRAJ5",0,0,1,0,0,0
"TRAV17_TRAJ50",0,0,0,0,1,0
"TRAV17_TRAJ52",0,0,0,0,2,0
"TRAV17_TRAJ53",1,8,2,0,0,0
"TRAV17_TRAJ54",0,7,0,0,0,1
"TRAV17_TRAJ57",0,0,0,0,1,0
"TRAV17_TRAJ58",0,1,0,0,0,0
"TRAV17_TRAJ7",0,1,0,0,0,0
"TRAV17_TRAJ9",0,4,0,4,0,5
"TRAV19_TRAJ16",0,0,1,0,0,0
"TRAV19_TRAJ18",0,1,0,0,0,0
"TRAV19_TRAJ20",0,0,0,0,2,0
"TRAV19_TRAJ21",0,1,0,0,0,0
"TRAV19_TRAJ22",0,0,0,1,0,0
"TRAV19_TRAJ23",0,0,1,0,0,0
"TRAV19_TRAJ26",0,0,3,1,0,0
"TRAV19_TRAJ28",1,0,0,0,0,0
"TRAV19_TRAJ29",0,2,1,0,0,0
"TRAV19_TRAJ3",1,0,0,0,0,2
"TRAV19_TRAJ30",0,1,0,0,1,0
"TRAV19_TRAJ32",0,1,0,0,0,0
"TRAV19_TRAJ33",0,2,0,0,0,0
"TRAV19_TRAJ34",0,0,0,0,1,0
"TRAV19_TRAJ36",0,0,0,1,0,0
"TRAV19_TRAJ37",0,2,0,0,0,0
"TRAV19_TRAJ39",0,1,0,0,3,0
"TRAV19_TRAJ4",2,0,0,0,0,0
"TRAV19_TRAJ41",0,1,0,0,0,0
"TRAV19_TRAJ43",0,5,0,0,0,0
"TRAV19_TRAJ44",0,2,1,0,0,0
"TRAV19_TRAJ49",1,13,1,0,0,0
"TRAV19_TRAJ50",0,0,2,0,2,0
"TRAV19_TRAJ52",0,0,1,0,1,0
"TRAV19_TRAJ53",0,1,0,0,0,0
"TRAV19_TRAJ54",0,0,0,0,0,1
"TRAV19_TRAJ56",0,2,2,8,0,0
"TRAV19_TRAJ57",8,0,0,0,0,0
"TRAV19_TRAJ58",0,0,0,0,0,1
"TRAV19_TRAJ7",0,0,0,0,1,0
"TRAV19_TRAJ9",0,2,0,0,0,0
"TRAV2_TRAJ10",1,0,0,0,0,0
"TRAV2_TRAJ13",0,0,0,1,0,0
"TRAV2_TRAJ15",0,0,1,0,0,0
"TRAV2_TRAJ16",2,1,0,0,0,0
"TRAV2_TRAJ17",1,4,0,0,0,0
"TRAV2_TRAJ18",0,0,0,0,1,0
"TRAV2_TRAJ21",1,0,0,0,0,1
"TRAV2_TRAJ22",0,2,0,0,2,0
"TRAV2_TRAJ23",0,0,4,0,2,0
"TRAV2_TRAJ24",0,1,0,0,0,0
"TRAV2_TRAJ26",0,0,0,0,1,0
"TRAV2_TRAJ27",14,0,0,0,0,1
"TRAV2_TRAJ28",27,0,0,0,2,0
"TRAV2_TRAJ29",0,2,0,0,0,0
"TRAV2_TRAJ30",0,29,0,0,2,0
"TRAV2_TRAJ31",0,0,0,0,1,0
"TRAV2_TRAJ33",0,1,0,0,2,0
"TRAV2_TRAJ34",1,1,1,0,1,2
"TRAV2_TRAJ36",1,0,0,0,0,0
"TRAV2_TRAJ37",0,0,0,0,2,0
"TRAV2_TRAJ39",1,0,0,0,0,0
"TRAV2_TRAJ4",0,1,1,0,2,0
