"P1_count","P2_count","P3_count","P4_count","count_4p","P1_TopFreq","P2_TopFreq","P3_TopFreq","P4_TopFreq","name"
"47061","25933","23167","110722","1171","0.0359525391343498","0.0581881082098773","0.0613657976067834","0.038990374976925","NaraCOVID_CD4_020_TCR.join.strict.table.txt"
"94873","21826","66821","191731","1611","0.0320280654557683","0.0622433328385533","0.0356851327225028","0.0330105142237184","NaraCOVID_CD4_021_TCR.join.strict.table.txt"
"40829","11401","66116","81999","1530","0.151306353865965","0.157685853554591","0.114729174549976","0.117195562592863","NaraCOVID_CD4_022_TCR.join.strict.table.txt"
"67825","14059","47429","81776","1439","0.0469660363796098","0.0662908421537046","0.0410350305608659","0.0447522845084346","NaraCOVID_CD4_023_TCR.join.strict.table.txt"
"104621","26285","102384","291288","2815","0.025696288474967","0.0571448381058032","0.0504711944663665","0.0287683875584003","NaraCOVID_CD4_024_TCR.join.strict.table.txt"
"51314","34022","91971","210624","2060","0.0263909459270644","0.0263479637194226","0.0271515354044087","0.0228119581246383","NaraCOVID_CD4_025_TCR.join.strict.table.txt"
"5850","20047","58015","71988","250","0.0835966185637435","0.0527019399304833","0.0773140201408154","0.0675995036747161","NaraCOVID_CD4_026_TCR.join.strict.table.txt"
"27664","95659","39328","148385","847","0.0939332670546576","0.0346319109779934","0.0384631217838765","0.0939615769060319","NaraCOVID_CD4_027_TCR.join.strict.table.txt"
"64167","60542","62556","83783","3609","0.256099577358972","0.188173667774756","0.221767254719901","0.160742598889866","NaraCOVID_CD4_028_TCR.join.strict.table.txt"
"47971","22493","63251","115833","2162","0.127212100078459","0.116772781536013","0.0958401871550243","0.0785811079202595","NaraCOVID_CD4_029_TCR.join.strict.table.txt"
"24848","42528","44514","105368","1002","0.0548626244264611","0.0469130265596454","0.049607562303065","0.0527043266484809","NaraCOVID_CD4_030_TCR.join.strict.table.txt"
"71950","48684","52669","188640","2546","0.127655555727578","0.0544862490691775","0.120118631064873","0.0641858498352049","NaraCOVID_CD4_031_TCR.join.strict.table.txt"
"19309","45943","40471","39791","1338","0.139422311391357","0.106155133395852","0.076781491171057","0.0643173208154572","NaraCOVID_CD4_032_TCR.join.strict.table.txt"
"28623","35402","60370","226035","855","0.0810277561029985","0.0387173760552138","0.0520610634093352","0.0349257369675659","NaraCOVID_CD4_033_TCR.join.strict.table.txt"
"15766","78637","41893","99714","938","0.0328607462816387","0.0324475035706689","0.0347635679255868","0.0396078764486964","NaraCOVID_CD4_034_TCR.join.strict.table.txt"
