"class","organ","freq","name"
"AIMonly","Nega",0,"COVIDAIM_CD8_012_TCR"
"NonNV","Nega",0.592080162054792,"COVIDAIM_CD8_012_TCR"
"nonNVonly","Nega",0.406100654905894,"COVIDAIM_CD8_012_TCR"
"AIM","Posi",0.605791710945802,"COVIDAIM_CD8_021_TCR"
"AIMonly","Posi",0.172476089266738,"COVIDAIM_CD8_021_TCR"
"NonNV","Posi",0.22173219978746,"COVIDAIM_CD8_021_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_021_TCR"
"AIM","Nega",0.0742195390174383,"COVIDAIM_CD8_021_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_021_TCR"
"NonNV","Nega",0.285061830913212,"COVIDAIM_CD8_021_TCR"
"nonNVonly","Nega",0.640718630069349,"COVIDAIM_CD8_021_TCR"
"AIM","Posi",0.318311812115435,"COVIDAIM_CD8_023_TCR"
"AIMonly","Posi",0.300979287633244,"COVIDAIM_CD8_023_TCR"
"NonNV","Posi",0.380708900251322,"COVIDAIM_CD8_023_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_023_TCR"
"AIM","Nega",0.0323770968984264,"COVIDAIM_CD8_023_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_023_TCR"
"NonNV","Nega",0.464237414131282,"COVIDAIM_CD8_023_TCR"
"nonNVonly","Nega",0.503385488970292,"COVIDAIM_CD8_023_TCR"
"AIM","Posi",0.257094211123723,"COVIDAIM_CD8_027_TCR"
"AIMonly","Posi",0.662883087400681,"COVIDAIM_CD8_027_TCR"
"NonNV","Posi",0.0800227014755959,"COVIDAIM_CD8_027_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_027_TCR"
"AIM","Nega",0.0449214867819519,"COVIDAIM_CD8_027_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_027_TCR"
"NonNV","Nega",0.26046511627907,"COVIDAIM_CD8_027_TCR"
"nonNVonly","Nega",0.694613396938978,"COVIDAIM_CD8_027_TCR"
"AIM","Posi",0.370811450551076,"COVIDAIM_CD8_031_TCR"
"AIMonly","Posi",0.25438272061543,"COVIDAIM_CD8_031_TCR"
"NonNV","Posi",0.374805828833494,"COVIDAIM_CD8_031_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_031_TCR"
"AIM","Nega",0.0329062874375181,"COVIDAIM_CD8_031_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_031_TCR"
"NonNV","Nega",0.538101065807411,"COVIDAIM_CD8_031_TCR"
"nonNVonly","Nega",0.428992646755071,"COVIDAIM_CD8_031_TCR"
"AIM","Posi",0.0133437990580848,"COVIDAIM_CD8_034_TCR"
"AIMonly","Posi",0.950549450549451,"COVIDAIM_CD8_034_TCR"
"NonNV","Posi",0.0361067503924647,"COVIDAIM_CD8_034_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_034_TCR"
"AIM","Nega",0.00068509754735078,"COVIDAIM_CD8_034_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_034_TCR"
"NonNV","Nega",0.0444575608419322,"COVIDAIM_CD8_034_TCR"
"nonNVonly","Nega",0.954857341610717,"COVIDAIM_CD8_034_TCR"
"AIM","Posi",0.437626537922442,"COVIDAIM_CD8_035_TCR"
"AIMonly","Posi",0.212427970721071,"COVIDAIM_CD8_035_TCR"
"NonNV","Posi",0.349945491356487,"COVIDAIM_CD8_035_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_035_TCR"
"AIM","Nega",0.0320765941476386,"COVIDAIM_CD8_035_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_035_TCR"
"NonNV","Nega",0.571351856362018,"COVIDAIM_CD8_035_TCR"
"nonNVonly","Nega",0.396571549490344,"COVIDAIM_CD8_035_TCR"
"AIM","Posi",0.593891124066015,"COVIDAIM_CD8_038_TCR"
"AIMonly","Posi",0.165900320223335,"COVIDAIM_CD8_038_TCR"
"NonNV","Posi",0.240208555710649,"COVIDAIM_CD8_038_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_038_TCR"
"AIM","Nega",0.0416836242585246,"COVIDAIM_CD8_038_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_038_TCR"
"NonNV","Nega",0.38943128336546,"COVIDAIM_CD8_038_TCR"
"nonNVonly","Nega",0.568885092376016,"COVIDAIM_CD8_038_TCR"
"AIM","Posi",0.382856202698256,"COVIDAIM_CD8_040_TCR"
"AIMonly","Posi",0.506252056597565,"COVIDAIM_CD8_040_TCR"
"NonNV","Posi",0.110891740704179,"COVIDAIM_CD8_040_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_040_TCR"
"AIM","Nega",0.0470559326719292,"COVIDAIM_CD8_040_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_040_TCR"
"NonNV","Nega",0.21980680038087,"COVIDAIM_CD8_040_TCR"
"nonNVonly","Nega",0.7331372669472,"COVIDAIM_CD8_040_TCR"
