"class","counts","prop","sum_TP1","sum_TP2","sum_TP3","sum_TP4","name"
"blue",64,0.000503536557540853,0.00583640410592888,0,0.00248630956127652,0.000266071757506294,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"brown",2654,0.0208810316205223,0.0427855818513855,0,0.158966450557059,0.00497349515954072,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"green",2211,0.0173956145112942,0.0323813551052272,0,0.0170579719267325,0.182136351542193,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"invblue",1,7.86775871157583e-06,0.000146374784503789,0.000482392667631452,0.00037766727513061,0.000409341165394298,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"invbrown",1,7.86775871157583e-06,0.000232340927783793,0.000482392667631452,7.86806823188771e-05,0.000368407048854868,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"invturquoise",436,0.00343034279824706,0.032011933030051,0,0.0363504752313212,0.0361038907877771,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"invyellow",634,0.00498815902313908,0.0306457683746823,0,0.00327311638446529,0.0412001882969361,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"singlet",118907,0.935531585117348,0.742089953113601,0.432465026531597,0.617202744382199,0.580609508995272,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"turquoise",871,0.00685281783778255,0.064797561349622,0.550410033767487,0.0674136086108139,0.0736200085961645,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"yellow",9,7.08098284041825e-05,0.00111523645336221,0.00747708634828751,0.00539749480707497,0.00104381997175546,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"0",867,0.00695519634190365,0.0408833274979322,0.027995705673466,0.0534915860499146,0.0354938271604938,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"blue",94,0.000754081264289439,0.00796405392925464,0.000330332810306384,0.00329241525079262,5.32141336739038e-05,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"brown",2352,0.0188680758894549,0.0474341995098263,0.0113964819555702,0.151383356366691,0.00787569178373776,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"green",1002,0.00803818539168104,0.0163112146260523,0.00264266248245107,0.0137658184971412,0.116193060876969,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"invblue",12,9.62656933135454e-05,0.000819493284214479,0.00239491287472128,0.00185621765168144,0.00266070668369519,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"invbrown",6,4.81328466567727e-05,0.000748453618709818,0.00107358163349575,0.000284529713031461,0.00125053214133674,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"invgreen",24,0.000192531386627091,0.00533304917467132,0.00644148980097448,0.00598867300761456,0.000931247339293316,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"invturquoise",91,0.000730014840961052,0.0068756247684868,0,0.00808877327046582,0.0084610472541507,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"invyellow",103,0.000826280534274598,0.0059013664987086,0,0.000677451697693954,0.00830140485312899,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"singlet",119001,0.954642814167101,0.810207385080655,0.664134115120984,0.677031677641384,0.776846530438485,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"turquoise",993,0.00796598612169588,0.0428572153465975,0.243455281195805,0.0494675229656126,0.0308375904640272,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"yellow",110,0.000882435522040833,0.0146646166648907,0.0401354364522256,0.0346719778879766,0.0110951468710089,"NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"0",1431,0.00631175017642908,0.026165649242902,0.0164310278945357,0.0776421772028313,0.0653630014070149,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"blue",20,8.82145377558222e-05,0.00128213763080069,0,0.000524774225042714,0.000117953341028385,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"brown",2027,0.00894054340155258,0.0203292901708905,0.00221627818112342,0.135867708079082,0.0114330488411084,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"green",2162,0.00953599153140438,0.0161595875606934,0.00198700802445548,0.00567488406150842,0.0754143111103622,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"invblue",28,0.000123500352858151,0.00348761028894019,0.00733664501337409,0.00712716621918477,0.00732153238240473,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"invbrown",3,1.32321806633733e-05,0.000315942224208767,0.000458540313335881,0.000170856724432512,0.000471813364113539,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"invgreen",1,4.41072688779111e-06,0.000127356555495007,0.00015284677111196,0.00019526482792287,0,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"invturquoise",365,0.00160991531404375,0.0136234776911726,0,0.0173419575298999,0.0152833829018207,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"invyellow",1020,0.00449894142554693,0.0189332663895029,0.00015284677111196,0.000707835001220405,0.0260087116967588,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"singlet",218649,0.964401023288638,0.759651238971106,0.473901413832633,0.549621674395899,0.657699404335628,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"turquoise",916,0.00404022582921666,0.130413112826887,0.471073748567062,0.182108860141567,0.1303637175523,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"yellow",98,0.000432251235003529,0.00951133044740113,0.0262896446312572,0.0230168415914083,0.0105231230674609,"NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"0",3703,0.0164012118205655,0.0627084869690741,0.055397692774742,0.0796904210699652,0.0733387101420054,"NaraCOVID_CD4_009_TCR.join.strict.table.txt"
